sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct,leg,entry_ts,exit_ts
129516,217,218,1,-1.1506882440140935,1.0,stop,3.28492778742384,0.002,RULE:ta_C,2016-05-17 14:00:00+00:00,2016-05-17 14:30:00+00:00
158739,219,220,-1,-1.056259115833555,1.0,stop,0.0023107366348364,0.0025,RULE:smc_B,2016-05-20 15:15:00+00:00,2016-05-23 04:30:00+00:00
129862,221,222,1,1.9305564539496496,1.0,target,3.744048436286448,0.002,RULE:ta_C,2016-05-23 08:30:00+00:00,2016-05-23 09:00:00+00:00
129862,221,222,1,1.9679491325921457,1.0,target,3.744048436286448,0.002,RULE:ta_C,2016-05-23 08:30:00+00:00,2016-05-23 09:00:00+00:00
131085,221,222,1,1.9358846441365976,1.0,target,9.670070323260916,0.004,RULE:ta_C,2016-05-23 08:30:00+00:00,2016-05-23 09:00:00+00:00
131136,223,226,1,-1.1295642762860305,1.0,stop,10.573902307573915,0.004,RULE:ta_C,2016-05-23 21:15:00+00:00,2016-05-24 08:00:00+00:00
131138,224,225,1,-1.1532008549105126,1.0,stop,8.942508844354961,0.004,RULE:ta_C,2016-05-23 21:45:00+00:00,2016-05-24 07:00:00+00:00
159031,227,228,1,-1.0416553617118096,1.0,stop,0.00312084674476,0.0025,RULE:smc_B,2016-05-25 16:15:00+00:00,2016-05-27 15:30:00+00:00
159515,229,230,-1,-1.038439175871788,1.0,stop,0.0033819663676899,0.0025,RULE:smc_B,2016-06-01 17:15:00+00:00,2016-06-01 18:00:00+00:00
130902,231,232,1,-1.2022293605410967,1.0,stop,2.447715794954547,0.002,RULE:ta_C,2016-06-07 21:45:00+00:00,2016-06-08 02:15:00+00:00
130902,231,232,1,-1.2594255433203965,1.0,stop,2.447715794954547,0.002,RULE:ta_C,2016-06-07 21:45:00+00:00,2016-06-08 02:15:00+00:00
160678,233,234,-1,-1.052625493991444,1.0,stop,0.0024702856000029,0.0025,RULE:smc_B,2016-06-17 20:00:00+00:00,2016-06-19 22:00:00+00:00
161213,235,238,-1,-1.026674817482569,1.0,stop,0.0048735103842811,0.0025,RULE:smc_B,2016-06-27 09:45:00+00:00,2016-06-28 10:45:00+00:00
132213,236,237,-1,-1.089983269289336,1.0,stop,5.501022622420578,0.002,RULE:ta_C,2016-06-28 04:45:00+00:00,2016-06-28 09:15:00+00:00
132213,236,237,-1,-1.1154330828257135,1.0,stop,5.501022622420578,0.002,RULE:ta_C,2016-06-28 04:45:00+00:00,2016-06-28 09:15:00+00:00
132250,239,240,-1,-1.149474885317386,1.0,stop,4.248205299851406,0.002,RULE:ta_C,2016-06-28 14:00:00+00:00,2016-06-28 14:30:00+00:00
132250,239,240,-1,-1.1165197924915056,1.0,stop,4.248205299851406,0.002,RULE:ta_C,2016-06-28 14:00:00+00:00,2016-06-28 14:30:00+00:00
132898,241,242,1,1.952653140594785,1.0,target,5.491388515863491,0.002,RULE:ta_C,2016-07-07 18:15:00+00:00,2016-07-08 12:15:00+00:00
132898,241,242,1,1.9781476033514396,1.0,target,5.491388515863491,0.002,RULE:ta_C,2016-07-07 18:15:00+00:00,2016-07-08 12:15:00+00:00
