ts,open,high,low,close
2015-10-22,1.1345,1.13493,1.10718,1.11163
2015-10-23,1.11163,1.11396,1.09966,1.10169
2015-10-25,1.09994,1.10358,1.09994,1.10338
2015-10-26,1.10339,1.10692,1.1004,1.10649
2015-10-27,1.10648,1.10785,1.10252,1.10331
2015-10-28,1.10334,1.10957,1.08967,1.09318
2015-10-29,1.09317,1.09978,1.09165,1.09861
2015-10-30,1.0986,1.10726,1.09654,1.10041
2015-11-01,1.10338,1.10376,1.10177,1.10292
2015-11-02,1.10292,1.10525,1.10004,1.1018
2015-11-03,1.10179,1.10299,1.09363,1.09496
2015-11-04,1.09496,1.09577,1.08439,1.08706
2015-11-05,1.08704,1.08974,1.08336,1.08827
2015-11-06,1.08825,1.08853,1.07063,1.07367
2015-11-08,1.07285,1.07712,1.07193,1.07685
2015-11-09,1.07685,1.07898,1.07265,1.07432
2015-11-10,1.07433,1.07736,1.06742,1.07572
2015-11-11,1.07571,1.07802,1.07056,1.07608
2015-11-12,1.0761,1.08301,1.06911,1.07922
2015-11-13,1.07922,1.08077,1.0714,1.07707
2015-11-15,1.07402,1.07446,1.06871,1.07195
2015-11-16,1.07196,1.07579,1.0656,1.06618
2015-11-17,1.06618,1.06792,1.06307,1.06397
2015-11-18,1.06396,1.07176,1.06168,1.07122
2015-11-19,1.07122,1.0763,1.0667,1.0719
2015-11-20,1.07189,1.07283,1.06397,1.06436
2015-11-22,1.06377,1.0646,1.06005,1.06147
2015-11-23,1.06146,1.06568,1.05927,1.06291
2015-11-24,1.0629,1.06769,1.06195,1.06564
2015-11-25,1.06566,1.06892,1.0566,1.06206
2015-11-26,1.06207,1.06237,1.05998,1.0607
2015-11-27,1.06073,1.0638,1.05685,1.059
2015-11-29,1.05881,1.05939,1.05704,1.05857
2015-11-30,1.05856,1.05968,1.05578,1.05741
2015-12-01,1.05744,1.0637,1.05744,1.06139
2015-12-02,1.06138,1.06321,1.05508,1.05923
2015-12-03,1.05923,1.09811,1.05223,1.09397
2015-12-04,1.09398,1.09505,1.08359,1.08832
2015-12-06,1.08725,1.08876,1.0854,1.08627
2015-12-07,1.08627,1.08725,1.0796,1.08454
2015-12-08,1.08451,1.09141,1.08404,1.09114
2015-12-09,1.09119,1.10425,1.09063,1.10057
